taxa	determinant	coefficient	stdev	pvalue	formula	method	n	freq
t105	Reproductive.haschildrenTRUE	0.19487440887557914	0.15605109152379243	0.031754927221379944	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t105	Technical.dna_conc	-0.15344638510079275	0.061922856647495764	2.0744608138196956e-5	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t106	(Intercept)	5.322315925182291	0.08418564797448008	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t106	General.Age	-0.3323131883217456	0.07537198977302724	4.6041389980154065e-14	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t106	Reproductive.haschildrenTRUE	0.19278500156195674	0.1560734543850132	0.033829921906952824	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t106	Technical.dna_conc	-0.15378038634754704	0.06192772775150139	2.0309136415149354e-5	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t107	(Intercept)	5.31768259122238	0.08416696913512488	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t107	General.Age	-0.3361742775780698	0.07534287401833431	2.142941731821906e-14	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t107	Reproductive.haschildrenTRUE	0.19672330773595134	0.1560457916509912	0.030123463141423314	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t107	Technical.dna_conc	-0.15406705946355514	0.06191690343561639	1.9081318091152863e-5	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t108	(Intercept)	5.383926249954112	0.08445155729526753	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t108	General.Age	-0.4058859551759281	0.07598958072862513	6.428963919736855e-17	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t108	Reproductive.haschildrenTRUE	0.5792591924021925	0.15806476481667553	8.881136825789479e-9	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t108	Technical.dna_conc	-0.21560537053077625	0.062340091613598055	5.6709888755673324e-8	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t109	(Intercept)	5.334668961519738	0.08423180590284343	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t109	General.Age	-0.34652989266053735	0.0754103613584615	4.192113927999745e-15	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t109	Reproductive.haschildrenTRUE	0.2200830333151759	0.1562507616692353	0.015662018247365468	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t109	Technical.dna_conc	-0.1589564392282443	0.06198219249307067	1.1057027003844562e-5	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t11	(Intercept)	5.59136586966788	0.08596276757074986	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t11	General.Age	-0.1693486374565551	0.07834822042077508	1.737800014411624e-4	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t11	Reproductive.haschildrenTRUE	0.14737472450372627	0.15943918404806204	0.10805567085696789	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t11	Technical.dna_conc	-0.02837756533278745	0.06372349720165867	0.43873038480129745	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t110	(Intercept)	5.329294268290259	0.08423784732266708	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t110	General.Age	-0.33013158927817576	0.07549991595034429	8.958803432539113e-14	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t110	Reproductive.haschildrenTRUE	0.2118268976413861	0.1562339035140831	0.02028189651092279	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t110	Technical.dna_conc	-0.16220374107181293	0.0619423790125782	7.547997622515725e-6	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t111	(Intercept)	5.321109906859649	0.08418105247155756	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t111	General.Age	-0.3410793060030061	0.07538077941755145	9.964367961220633e-15	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t111	Reproductive.haschildrenTRUE	0.21553158672881464	0.15615623252214306	0.017727306997948382	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t111	Technical.dna_conc	-0.16190710789460655	0.06191811949867953	7.218555201453197e-6	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t112	(Intercept)	5.317251080492432	0.08416568408016303	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t112	General.Age	-0.3371100756535394	0.0753430944076911	1.8136771155253985e-14	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t112	Reproductive.haschildrenTRUE	0.2005566190718224	0.1560553951812442	0.027059150552459207	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t112	Technical.dna_conc	-0.15390342726743314	0.061920660066517974	1.9476110929831877e-5	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t113	(Intercept)	5.31768259122238	0.08416696913512488	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t113	General.Age	-0.3361742775780698	0.07534287401833431	2.142941731821906e-14	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t113	Reproductive.haschildrenTRUE	0.19672330773595134	0.1560457916509912	0.030123463141423314	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t113	Technical.dna_conc	-0.15406705946355514	0.06191690343561639	1.9081318091152863e-5	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t114	(Intercept)	5.32393161160528	0.08418816217319766	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
